Lab_Sample_ID,Field_Pit_ID,Location,Latitude,Longitude,Al2O3,As2O3,BaO,CaO,CeO2,Cr2O3,CuO,Fe2O3,HfO2,K2O,La2O3,MgO,Mn3O4,Na2O,Nb2O5,Nd2O3,NiO,P2O5,PbO,SiO2,SnO2,SO3,SrO,Ta2O5,ThO2,TiO2,U3O8,V2O5,WO3,Y2O3,ZnO,ZrO2,LOI,record_type,Sn_pct,x,y
AMP-002,AMP-002,Bishiwai village,10.470183,8.859466,1.51,0.004,0.043,0.05,0.067,0.005,0.009,24.42,0.05,0.6,0.045,0.08,1.228,0.0,2.014,0.0,0.004,0.091,0.01,39.55,3.969,0.001,0.01,0.225,0.128,24.72,0.013,0.023,0.025,0.03,0.04,1.784,-0.39,field_sample,3.126268927078495,431.479108190716,345.71385000016625
DBP-001 Wash Layer,DBP-001,Bishiwai village,10.466498,8.858311,2.58,0.004,0.138,0.07,0.113,0.018,0.006,32.77,0.085,0.44,0.059,0.1,1.196,0.0,1.291,0.03,0.004,0.155,0.033,31.35,2.354,0.05,0.01,0.144,0.22,24.78,0.021,0.052,0.021,0.055,0.042,2.861,-0.23,field_sample,1.8541791520138013,305.04405014188274,-61.6260499999251
DBP-002,DBP-002,Bishiwai village,10.467174,8.857984,2.61,0.004,0.044,0.06,0.11,0.02,0.009,33.73,0.077,0.27,0.062,0.09,1.353,0.0,2.011,0.027,0.005,0.153,0.026,22.57,6.036,0.01,0.004,0.238,0.141,28.29,0.018,0.047,0.032,0.041,0.04,2.808,-0.02,field_sample,4.754386304823833,269.2481505903161,13.098990000112813
DBP-004,DBP-004,Bishiwai village,10.46333,8.859882,3.06,0.004,0.054,0.04,0.174,0.019,0.008,36.98,0.021,0.36,0.112,0.12,1.059,0.0,0.914,0.045,0.004,0.262,0.029,24.04,3.22,0.01,0.004,0.11,0.102,28.36,0.01,0.101,0.014,0.029,0.032,0.854,0.46,field_sample,2.536302833255922,477.0176226050271,-411.8167699999808
DBP-005A,DBP-005,Bishiwai village,10.472084,8.857877,1.56,0.004,0.057,0.12,0.042,0.009,0.006,28.28,0.05,0.59,0.048,0.09,1.39,0.04,1.815,0.0,0.004,0.084,0.023,35.66,1.822,0.01,0.004,0.199,0.128,28.5,0.016,0.027,0.022,0.026,0.035,1.573,-1.46,field_sample,1.4351378143454316,257.53511923861055,555.8503900001831
DBP-005B,DBP-005,Bishiwai village,10.472084,8.857877,6.18,0.004,0.06,1.39,0.014,0.01,0.006,30.6,0.04,1.02,0.024,0.46,0.752,0.93,0.45,0.0,0.004,0.116,0.017,37.39,0.633,0.01,0.02,0.05,0.036,19.04,0.0,0.136,0.005,0.02,0.031,1.695,-0.37,field_sample,0.4985961780903722,257.53511923861055,555.8503900001831
DBP-006,DBP-006,Bishiwai village,10.472672,8.857704,2.01,0.004,0.052,0.08,0.025,0.005,0.006,29.73,0.042,0.75,0.033,0.09,1.216,0.0,0.833,0.0,0.004,0.079,0.02,39.36,1.658,0.01,0.004,0.095,0.065,23.17,0.0,0.039,0.012,0.02,0.03,1.614,-0.62,field_sample,1.3059596576205956,238.59722742692722,620.8479100000395
DBP-007A,DBP-007,Bishiwai village,10.471667,8.859167,2.55,0.004,0.066,0.21,0.022,0.005,0.005,23.46,0.046,1.06,0.028,0.07,1.192,0.28,0.73,0.0,0.004,0.058,0.018,45.23,0.656,0.01,0.02,0.075,0.063,24.13,0.011,0.021,0.006,0.02,0.025,1.773,-1.05,field_sample,0.516712626899343,398.7483009555271,509.7552100001217
DBP-007B,DBP-007,Bishiwai village,10.471667,8.859167,3.49,0.004,0.085,0.31,0.0,0.005,0.006,20.55,0.037,1.37,0.027,0.08,1.019,0.48,0.486,0.0,0.004,0.047,0.013,51.71,0.357,0.01,0.02,0.053,0.058,20.4,0.0,0.016,0.007,0.017,0.023,1.279,-0.96,field_sample,0.2811987923827218,398.7483009555271,509.7552100001217
DBP-008,DBP-008,Bishiwai village,10.47185,8.859751,1.79,0.004,0.049,0.04,0.118,0.025,0.005,33.76,0.041,0.25,0.069,0.08,1.134,0.0,0.875,0.029,0.004,0.142,0.035,26.88,3.116,0.01,0.004,0.102,0.088,31.14,0.011,0.08,0.014,0.021,0.029,1.61,-0.82,field_sample,2.4543849777718796,462.677369267716,529.984030000102
